,Rock,Indie,Pop,Romantic,Folk,Grunge,Jazz,Classic,New Wave,Rap,Hip Hop,Metal,Heavy Metal,Country,Hardcore,Rockabilly,Blues,R&B,Soul,Dance,Gospel,Funk,Emocore,Punk,Psychedelic music,Classic Rock,House,Electronica,Progressive Music,Trip-Hop,Disco,Soundtack,Reggae,Surf Music,Children's music,Industrial,Trance,Ska,Instrumental,Chillout,Tropical House,Post-Rock,Lo-fi,Black Music,Reggaeton,World Music
racing,130.0,37.0,83.0,24.0,4.0,5.0,5.0,,1.0,27.0,35.0,,30.0,6.0,10.0,2.0,4.0,13.0,6.0,16.0,7.0,1.0,5.0,4.0,3.0,,2.0,11.0,13.0,1.0,2.0,9.0,1.0,,9.0,,1.0,1.0,1.0,,1.0,,,,,
yard,137.0,45.0,49.0,39.0,17.0,,10.0,,1.0,88.0,90.0,,4.0,24.0,7.0,8.0,21.0,24.0,3.0,17.0,1.0,6.0,,1.0,2.0,2.0,3.0,9.0,3.0,4.0,3.0,4.0,28.0,6.0,2.0,,,3.0,1.0,,,,,,,
striking,52.0,9.0,15.0,2.0,6.0,,3.0,,3.0,3.0,5.0,,20.0,1.0,5.0,1.0,,,1.0,1.0,1.0,,,1.0,1.0,1.0,,1.0,5.0,,1.0,3.0,,1.0,,1.0,,,1.0,1.0,,,,,,
polish,19.0,8.0,9.0,4.0,6.0,,1.0,,1.0,8.0,7.0,,1.0,,,,2.0,1.0,1.0,,1.0,1.0,,,2.0,1.0,,1.0,1.0,1.0,,1.0,,,,,,1.0,,,,,,,,
fixated,2.0,1.0,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,
college,42.0,5.0,33.0,10.0,2.0,1.0,1.0,,1.0,93.0,83.0,,3.0,8.0,6.0,,5.0,19.0,4.0,9.0,8.0,,2.0,1.0,2.0,,1.0,5.0,1.0,,,3.0,1.0,1.0,1.0,,,,,,,,,,,
questioned,26.0,9.0,4.0,6.0,5.0,,,1.0,1.0,2.0,7.0,,4.0,2.0,2.0,,,4.0,,1.0,1.0,,1.0,,1.0,,,,1.0,,,2.0,,,,1.0,,,,,,,,,,
starving,49.0,9.0,16.0,5.0,6.0,1.0,1.0,1.0,,22.0,26.0,,15.0,4.0,3.0,,2.0,8.0,2.0,7.0,1.0,1.0,3.0,,2.0,,2.0,7.0,2.0,1.0,,1.0,,,,,,,1.0,2.0,,,,,,
tickets,53.0,6.0,18.0,5.0,7.0,1.0,3.0,,2.0,37.0,37.0,,1.0,10.0,6.0,2.0,6.0,11.0,1.0,5.0,1.0,,4.0,1.0,,3.0,,2.0,1.0,,,1.0,1.0,,,1.0,,,,,,,,,,
boyfriends,36.0,11.0,41.0,24.0,1.0,1.0,,,,6.0,6.0,,1.0,3.0,2.0,,,6.0,,19.0,16.0,2.0,,2.0,,,,1.0,,,1.0,,,,,,,,,,,,,,,
semester,3.0,,1.0,,,,,,,6.0,8.0,,,,,,,2.0,,,3.0,,,,,,,,,,,,,,,,,,,,,,,,,
university,13.0,6.0,2.0,,6.0,,,,,7.0,6.0,,,,1.0,,1.0,3.0,2.0,,1.0,,,,3.0,,,2.0,,,,,2.0,,,,,,,,,,,,,
arts,32.0,13.0,6.0,5.0,5.0,,1.0,2.0,,5.0,3.0,,8.0,2.0,1.0,,1.0,,,2.0,2.0,1.0,1.0,,,,,,,,,2.0,,,,,,,1.0,,,,,,,
crafts,1.0,8.0,1.0,,,,,,,,1.0,,,,,,,1.0,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,
80,8.0,,25.0,1.0,,,,,,29.0,28.0,,,4.0,,,1.0,5.0,1.0,9.0,1.0,2.0,,,,,,,1.0,,,,,,,,,,,1.0,,,,,,
finals,3.0,,1.0,,,,,,,2.0,1.0,,1.0,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,
midterms,3.0,,1.0,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,1.0,,,,,,,,
