,Rock,Indie,Pop,Romantic,Folk,Grunge,Jazz,Classic,New Wave,Rap,Hip Hop,Metal,Heavy Metal,Country,Hardcore,Rockabilly,Blues,R&B,Soul,Dance,Gospel,Funk,Emocore,Punk,Psychedelic music,Classic Rock,House,Electronica,Progressive Music,Trip-Hop,Disco,Soundtack,Reggae,Surf Music,Children's music,Industrial,Trance,Ska,Instrumental,Chillout,Tropical House,Post-Rock,Lo-fi,Black Music,Reggaeton,World Music
donated,2.0,,2.0,,1.0,,,,1.0,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,
pomp,5.0,,,,1.0,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
mourners,6.0,2.0,2.0,,3.0,,,,,,,,3.0,1.0,1.0,,,,,,,1.0,1.0,,2.0,,,,,,,,,,,,,,,,,,,,,
idealizing,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ballet,11.0,3.0,5.0,3.0,,1.0,1.0,1.0,,,,,1.0,,,,1.0,,,2.0,3.0,,,,,,,,,,,2.0,,,,,,,,,,,,,,
carcasses,4.0,,,,,1.0,,,,,,,6.0,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,
legalistic,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
legalism,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
28,8.0,,,,,1.0,1.0,,,12.0,12.0,,1.0,,3.0,,1.0,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,
blender,13.0,1.0,4.0,,,,,,,4.0,5.0,,2.0,1.0,,,,1.0,,,,,,,,,1.0,,,,,1.0,2.0,1.0,1.0,,,1.0,,,,,,,,
fixture,12.0,2.0,3.0,1.0,1.0,1.0,,,1.0,2.0,2.0,,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
rundle,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
locals,5.0,,3.0,,1.0,,,,,3.0,3.0,,,,,,,,,1.0,,,,,,,,,,,,,1.0,1.0,,1.0,,,,,,,,,,
otto,2.0,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
shoppers,5.0,2.0,1.0,4.0,3.0,,2.0,1.0,,1.0,1.0,,,1.0,,,1.0,2.0,1.0,,,,,,,,,,,,,1.0,,,,,,,1.0,,,,,,,
crunch,21.0,2.0,2.0,3.0,1.0,1.0,2.0,1.0,,9.0,9.0,,,1.0,,,1.0,3.0,2.0,,,1.0,,,,,,1.0,1.0,,,1.0,1.0,,,,,,2.0,1.0,,,,,,
bustle,7.0,1.0,1.0,5.0,,,2.0,1.0,,,1.0,,1.0,2.0,,,2.0,1.0,1.0,1.0,,,,,,,,,,,,1.0,,,,,,,1.0,,,,,,,
ration,2.0,,,,,,1.0,,,2.0,2.0,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
contamination,3.0,,,,,,,,1.0,,,,9.0,,2.0,,,,,,,,,,,,1.0,1.0,,,,,,,,,,,,,,,,,,
trinkets,4.0,1.0,2.0,1.0,,,1.0,,,3.0,3.0,,1.0,,,1.0,,,,1.0,2.0,,,,,,,1.0,,,,,,,,,,,,1.0,,,,,,
rubies,4.0,2.0,3.0,1.0,2.0,,,,,5.0,5.0,,,5.0,,1.0,2.0,,,,,,,,1.0,,,,,,,1.0,,,,,,,,,,,,,,
priceless,46.0,4.0,17.0,5.0,,1.0,,,1.0,19.0,21.0,,2.0,1.0,1.0,1.0,,10.0,1.0,6.0,3.0,1.0,,2.0,,,1.0,2.0,,,1.0,3.0,,,,,,,,,,,,,,
garments,16.0,6.0,3.0,2.0,,,,,1.0,,1.0,,,,,1.0,,1.0,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,
rugs,5.0,1.0,,1.0,,,,,,8.0,4.0,,,1.0,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
brocade,1.0,,1.0,1.0,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
tapestries,3.0,,,1.0,,,,,,1.0,1.0,,,,,1.0,1.0,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,
slayers,2.0,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
flaunted,7.0,,,,,1.0,,,,2.0,2.0,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
females,8.0,,7.0,1.0,1.0,,1.0,1.0,1.0,25.0,34.0,,,,,,,12.0,,3.0,,,,,,,,1.0,,,,1.0,1.0,,,,,,,,,,,,,
bios,2.0,,,,,,,,,,,,,,,,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
fronted,5.0,,1.0,,,,,,,9.0,7.0,,,,,,,1.0,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,
genre,2.0,,,,,,,,,10.0,10.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
assumes,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
medias,4.0,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
jacked,12.0,1.0,4.0,,,,,,,23.0,26.0,,5.0,,3.0,,,3.0,,6.0,1.0,1.0,,,,,,4.0,,,,,,,,,2.0,,,1.0,,,,,,
femininity,2.0,,,,,,,,,,,,,,,,,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
unmentioned,3.0,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,
merle,4.0,,,,2.0,,,,,,,,1.0,7.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
disappearances,8.0,,4.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
testified,2.0,,1.0,,,,,,1.0,1.0,,,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
sweated,3.0,,4.0,,,,,,3.0,3.0,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
paraded,1.0,,1.0,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
portrayed,4.0,,3.0,,,,,,1.0,1.0,2.0,,1.0,,,,,,1.0,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,
scapegoat,16.0,1.0,2.0,2.0,1.0,,,,1.0,5.0,4.0,,4.0,1.0,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
chucks,1.0,1.0,5.0,1.0,,,,,1.0,17.0,18.0,,,,1.0,,,2.0,,2.0,,,,,,,,1.0,,,,1.0,,,,,,,,3.0,,,,,,
farthest,7.0,,1.0,1.0,,,,,,,1.0,,,,1.0,,,1.0,,,1.0,,,,,,,,2.0,,,,,1.0,,,,,,,,,,,,
gaunt,2.0,,,,,,,,,,,,2.0,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,
cen,2.0,,1.0,,,,,,,1.0,1.0,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
coed,2.0,,,,,,,,,1.0,1.0,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
buskers,2.0,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
innkeepers,2.0,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
yarns,5.0,,,1.0,,,,,,,,,1.0,2.0,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,
manna,6.0,,1.0,,1.0,,,,,,,,1.0,1.0,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,
greenwood,2.0,,,,10.0,,,,,,,,1.0,,,,5.0,,,,,,,,10.0,,,,,,,,,,,,,,,,,,,,,
concerto,2.0,,,,,,,,,1.0,1.0,,1.0,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,
angrily,1.0,,,,,,,,,2.0,2.0,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,
schoolbooks,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
teepee,7.0,,,2.0,,,1.0,1.0,,3.0,2.0,,,,,,2.0,1.0,,,,,,,,2.0,,,,,,,,,,,,,,,,,,,,
loneliest,32.0,5.0,4.0,8.0,3.0,,8.0,6.0,,2.0,4.0,,7.0,1.0,,1.0,2.0,3.0,3.0,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,
ping,4.0,2.0,2.0,,,,,,,9.0,6.0,,,16.0,,,,2.0,,,,,,,,,,1.0,2.0,,,1.0,1.0,,,,,,,,,,,,,
pong,4.0,2.0,3.0,1.0,,,,,,2.0,3.0,,,16.0,,,,,,1.0,,,,,,,,2.0,2.0,,,1.0,,,,,,,,,,,,,,
literature,9.0,4.0,1.0,,,,,,,7.0,7.0,,1.0,,,,,,1.0,,,,,,,,,,1.0,,,,,,,1.0,,,,,,,,,,
quitter,17.0,1.0,10.0,8.0,1.0,,,,,15.0,6.0,,2.0,8.0,2.0,2.0,,11.0,1.0,,,1.0,,,,,,,,,,,,,,2.0,,,,,,,,,,
headbanger,1.0,,,,,,,,,6.0,6.0,,1.0,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,1.0,,,,,,
rambles,2.0,,,,1.0,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ridge,18.0,11.0,9.0,5.0,6.0,,2.0,,,2.0,3.0,,2.0,29.0,1.0,2.0,2.0,1.0,5.0,1.0,2.0,2.0,,,1.0,,,2.0,3.0,,,,2.0,,,1.0,,,,1.0,,,,,,
trickled,1.0,3.0,,2.0,3.0,,,,,,,,,,,2.0,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
coddle,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
shipping,11.0,3.0,,,6.0,,,,,,,,,,,,,,,,,,1.0,,1.0,,,,,,,,,,,,,,,,,,,,,
65,7.0,2.0,9.0,4.0,1.0,,,,,9.0,4.0,,2.0,6.0,,,,1.0,,,,1.0,,,1.0,,,,,,,,,2.0,,,,,,,,,,,,
marigold,8.0,1.0,1.0,,1.0,3.0,,,1.0,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,
iris,1.0,2.0,5.0,,1.0,,,,1.0,3.0,4.0,,,,,,,2.0,,,,,,,,,,2.0,,2.0,,,,,,,,,3.0,1.0,,,,,,
foul,22.0,5.0,12.0,,1.0,,,,6.0,93.0,66.0,,18.0,,8.0,,2.0,7.0,3.0,1.0,,1.0,,,,,,,2.0,,,3.0,1.0,,,,1.0,1.0,,3.0,,,,,,
modesty,10.0,,9.0,,,,,,3.0,1.0,4.0,,5.0,,,,,1.0,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,
particle,5.0,,5.0,,1.0,,,,4.0,1.0,1.0,,1.0,,,,,,,,,,,,,,1.0,1.0,2.0,,,1.0,,,1.0,,,,,,,,,,,
atoms,7.0,4.0,5.0,,,,,,4.0,4.0,5.0,,1.0,,,,,,,,2.0,1.0,,,,,,4.0,,,,1.0,,,,,,,,3.0,,,,,,
felicity,2.0,1.0,5.0,,1.0,,,,1.0,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
yank,6.0,,1.0,1.0,1.0,,,,,6.0,4.0,,,1.0,,,1.0,1.0,,,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,
101st,1.0,,,,1.0,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
guff,2.0,,,,1.0,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
veterans,3.0,,,,1.0,,,,,7.0,4.0,,,1.0,1.0,,2.0,1.0,,,,,,,2.0,,,,,,,,2.0,,,,,,,,,,,,,
pension,3.0,1.0,4.0,,1.0,,,,1.0,3.0,2.0,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,2.0,,,,,,,,
comas,3.0,,,,,,,,,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
deepened,5.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
experiments,7.0,2.0,,1.0,1.0,,,,,1.0,1.0,,5.0,,,,,,,3.0,,,,,,,,3.0,2.0,,2.0,,,,,,,,,,,,,,,
transformations,2.0,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
trinity,17.0,,1.0,2.0,1.0,,,,,8.0,7.0,,13.0,1.0,,,,,2.0,,8.0,1.0,,,,,,2.0,,,,1.0,1.0,,,,,,,,,,,,,
mineral,5.0,,3.0,,,,,,,5.0,7.0,,1.0,,,,,,,,,1.0,,,,,,2.0,,1.0,,,,,,,,1.0,,1.0,,,,,,
smite,6.0,,,,,,1.0,,,,,1.0,7.0,1.0,2.0,,,,,,2.0,,,,,,,,,,,,,,,,,,1.0,,,,,,,
perils,5.0,,1.0,,,,,,,,,,3.0,,3.0,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
treacherous,11.0,1.0,,2.0,,,,,1.0,4.0,2.0,,7.0,,5.0,,,,,,,,1.0,,,,,,,3.0,,,,,,,,,,,,,,,,
willingness,8.0,,1.0,,1.0,,,,,1.0,1.0,,5.0,,1.0,,,,,,,,,,,1.0,,,6.0,,,,,,,,,,,,,,,,,
nets,4.0,2.0,2.0,1.0,2.0,,1.0,,,7.0,6.0,,,,,,,1.0,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,
arraigned,1.0,,,,,,,,,2.0,1.0,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,
worrisome,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,
manifesto,8.0,2.0,2.0,1.0,,,,,,,,,2.0,,1.0,,,,,1.0,,,,,,,,,1.0,,,,,,,,,,,,,,,,,
stiffen,10.0,,4.0,,,,,,,2.0,2.0,,,,2.0,,1.0,,,1.0,,,,,1.0,,,1.0,1.0,,,,,,,,,,,,,,,,,
sinews,2.0,,,,,,,,,,,,1.0,,1.0,,,,,1.0,,,1.0,,,,,,1.0,,,,,,,,,,,,,,,,,
depose,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,
revolutionary,55.0,,6.0,,,,,,,7.0,6.0,,,,,,,,,6.0,1.0,,,,,,,2.0,44.0,,,,2.0,1.0,,1.0,,,,,,,,,,
tournaments,2.0,1.0,,,,,,,,,1.0,,1.0,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,
corrodes,6.0,2.0,,,,,,,2.0,,,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
celluloid,8.0,1.0,3.0,,,,,,4.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
flatulent,1.0,1.0,,,,,,,1.0,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
unions,3.0,,2.0,,2.0,,,,,1.0,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,
growls,7.0,1.0,,,,,,1.0,,2.0,2.0,,4.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
sulfurous,6.0,,,,,,,,,,,,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
pea,7.0,1.0,4.0,,1.0,,,,,2.0,8.0,,1.0,1.0,,,,1.0,,1.0,,,,1.0,,,,3.0,1.0,,,,,,,,,,,,,,,,,
cleaned,12.0,1.0,3.0,3.0,4.0,,,,,2.0,2.0,,2.0,4.0,2.0,1.0,,1.0,2.0,2.0,,,,,,,1.0,1.0,,,,,,,,,,,,,,,,,,
crisp,12.0,5.0,4.0,2.0,1.0,,1.0,,,9.0,7.0,,3.0,1.0,1.0,2.0,1.0,,1.0,2.0,,,1.0,,,1.0,,1.0,,,,2.0,1.0,,,,,,,1.0,,,,,,
pronounces,1.0,,,,,,,,,1.0,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,
god’s,15.0,,3.0,,1.0,,,,,4.0,3.0,,1.0,,1.0,,,3.0,1.0,1.0,12.0,1.0,1.0,,,,,,2.0,,1.0,,,,1.0,,,,,,,,,,,
sideshows,3.0,,,1.0,,,,,,,,,,,,,1.0,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,
powders,2.0,1.0,,,,,,,,2.0,1.0,,,2.0,,,2.0,,,,,,,,,2.0,,,1.0,,,,,,,,,,,,,,,,,
taillights,14.0,2.0,2.0,,,,,,,,,,,7.0,,,1.0,,,,3.0,,,3.0,,1.0,,,,,,,,1.0,,,,,,,,,,,,
payback,25.0,1.0,14.0,5.0,,,,,,23.0,23.0,,10.0,1.0,6.0,,,5.0,,5.0,,,,,,,1.0,1.0,,,,1.0,,,,,,,,2.0,,,,,,
prospect,7.0,1.0,,,1.0,,,,1.0,5.0,6.0,1.0,5.0,,1.0,,,,,1.0,,,,,,,,,,,,1.0,,,,,,,,,,,,,,
borough,1.0,1.0,1.0,,,,,,,10.0,10.0,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,
soakers,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,
manhattans,3.0,1.0,,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,
persuasion,24.0,8.0,8.0,,3.0,,,,2.0,1.0,5.0,,3.0,,2.0,,1.0,11.0,2.0,3.0,,6.0,,,,,,,1.0,,,,,,,,,,,,,,,,,
charcoal,12.0,3.0,7.0,,1.0,,,,,,2.0,,1.0,1.0,1.0,,,,,,,,1.0,,,,,2.0,,,,,,1.0,,,,,,,,,,,,
flattery,9.0,1.0,2.0,,,,,,1.0,5.0,4.0,,,,,,,1.0,1.0,1.0,,,1.0,1.0,,,,,,1.0,1.0,1.0,,,,,,,,,,,,,,
hassle,10.0,6.0,3.0,,,,1.0,,,5.0,7.0,,,1.0,,,1.0,3.0,3.0,,,,,1.0,,,,2.0,,,,,,,,,,,,,,,,,,
snitch,6.0,1.0,16.0,,,,,,1.0,93.0,83.0,,2.0,,,,,3.0,1.0,2.0,,,,,,,,1.0,,,,,,,,,,,,,,,,,,
skids,10.0,,,,,,,,2.0,,,,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
burrito,9.0,,2.0,,,,,,,2.0,1.0,,2.0,,2.0,,1.0,,,1.0,,,,,,,,,,,,1.0,,,,,,,,,,,,,,
oaks,4.0,1.0,1.0,,,1.0,,1.0,,4.0,5.0,,1.0,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
scuba,2.0,,2.0,1.0,,,,1.0,,5.0,4.0,,,,,,1.0,1.0,,,,,,,,,,,,,,1.0,,,5.0,,,,1.0,,,,,,,
stellar,10.0,3.0,1.0,,1.0,,,,,2.0,4.0,,1.0,,,,,,,,,,1.0,,,,,,1.0,,,,,,,,,,,,,,,,,
thumbnail,3.0,1.0,,,,,,,,2.0,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
beauties,10.0,3.0,,1.0,1.0,,,,,,,,3.0,1.0,,,,,,,1.0,,,,,,,1.0,,,,,,,,,,,,,,,,,,
preppy,3.0,1.0,,,,,,,,1.0,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ornery,4.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,
2080,2.0,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
leer,4.0,,2.0,,,,,,2.0,4.0,3.0,,1.0,1.0,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
spoiling,6.0,,2.0,1.0,,,,,3.0,,,,1.0,,1.0,,1.0,1.0,1.0,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,
appalling,11.0,3.0,3.0,,,,,,2.0,5.0,4.0,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
oasis,12.0,5.0,3.0,1.0,4.0,1.0,2.0,,,10.0,5.0,,4.0,3.0,,,2.0,3.0,,2.0,,,,,,,,,,,,,,,,,,,1.0,,,,,,,
cornfield,9.0,,2.0,,,,,,,,,,,1.0,,1.0,,,,,,,,,,2.0,,,,,,,,3.0,,,,,,,,,,,,
seagull,8.0,4.0,1.0,,6.0,,1.0,,,2.0,2.0,,4.0,,,,3.0,,,,,,,,3.0,,,,,,,,,,,1.0,,,,,,,,,,
saturate,11.0,1.0,1.0,,,,,,,2.0,1.0,,2.0,,4.0,,,,,,3.0,,,,,,,,,,,,,,,1.0,,,,,,,,,,
intolerable,2.0,,,,,,,,,,,,1.0,,1.0,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,
moonlighting,1.0,,1.0,,,,1.0,,,,,,,,,,,,1.0,,,,1.0,,,,,,,,1.0,,,,,,,,,,,,,,,
funds,5.0,,2.0,,,,2.0,,,24.0,22.0,,3.0,,1.0,,3.0,6.0,4.0,1.0,1.0,2.0,2.0,,2.0,,,,,,,,1.0,,,1.0,,,,,,,,,,
costume,8.0,2.0,13.0,1.0,3.0,,,,8.0,2.0,2.0,,1.0,,1.0,,,,,1.0,,,1.0,,,,,,,,,,,1.0,,,,,,,,,,,,
bottomless,14.0,2.0,2.0,,1.0,,1.0,,,3.0,3.0,,5.0,,3.0,,1.0,2.0,,,1.0,,1.0,,,,1.0,,,,,,1.0,,,1.0,,,,,,,,,,
hut,2.0,1.0,4.0,1.0,,,2.0,1.0,,20.0,18.0,,,,,,,4.0,3.0,,,,1.0,,,,,1.0,,,,,,,,,,,,,,,,,,
chumps,3.0,,7.0,,,,,,1.0,16.0,18.0,,,,,,,4.0,,1.0,,,1.0,,,,,,,,,2.0,,,,,,,,,,,,,,
hell’s,5.0,3.0,,,3.0,,,,,2.0,,,1.0,,,,,2.0,,,,,,,,,,12.0,,12.0,,,,,,,,,,,,,,,,
must’ve,4.0,,1.0,,,,,,,1.0,1.0,,2.0,,,,,2.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,
snot,5.0,1.0,1.0,,,,,,,10.0,11.0,,1.0,,,,,1.0,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,
nosed,5.0,,,,,,,,,5.0,5.0,,1.0,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,
spurned,4.0,3.0,7.0,,,,,,1.0,,,,1.0,,1.0,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,
123,22.0,,41.0,18.0,,,1.0,,,8.0,9.0,,4.0,,,,1.0,7.0,6.0,22.0,4.0,1.0,2.0,,,,,1.0,1.0,3.0,5.0,,,,1.0,,,,2.0,,,,,,,
vandals,4.0,1.0,,1.0,4.0,,,,,,,,2.0,2.0,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,
nymph,15.0,,,,,,,,,,,,2.0,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,
brushing,14.0,5.0,14.0,3.0,,,1.0,,,3.0,3.0,,,1.0,,,,3.0,2.0,3.0,,,,,,,,2.0,,2.0,,1.0,,,,,,,,,,,,,,
spontaneous,6.0,2.0,2.0,,,,,,,3.0,9.0,,1.0,,,,,6.0,,2.0,,1.0,,,,,,,,,,1.0,1.0,,,,,,,,,,,,,
accusation,5.0,,,1.0,,1.0,,,,2.0,1.0,,,,,,1.0,,,,,,,,1.0,,,,1.0,,,,,,,,,,,,,,,,,
steaks,2.0,,1.0,,,1.0,,,,4.0,5.0,,,,,,,3.0,,1.0,,1.0,,,,,,,,,,,,,,,,,,,,,,,,
breakouts,1.0,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
overcompensating,1.0,,1.0,,,,,,,,,,,,1.0,,,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
hangovers,1.0,,,,,,,,,1.0,2.0,,,,1.0,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
summoned,14.0,3.0,2.0,1.0,4.0,,,,,1.0,,2.0,12.0,3.0,,1.0,,,1.0,,1.0,,,,,,,,6.0,,,,,,,,,,,,,1.0,,,,
unearthly,5.0,,3.0,,3.0,,,,1.0,,,,1.0,1.0,,,,,,,,,,,,,,,5.0,,,1.0,,,,,,,,,,,,,,
pinnacle,2.0,,,,,,1.0,,,2.0,4.0,,1.0,,,,,,,,,,,,,,,1.0,2.0,,,,,,,,,,,,,,1.0,,,
hem,9.0,1.0,1.0,1.0,8.0,,,,,4.0,4.0,,,3.0,,,2.0,2.0,1.0,,2.0,,,,,,,,,,,,1.0,1.0,,,,,,,,,,,,
uncaring,7.0,,,2.0,2.0,,,,,,,,1.0,,3.0,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
awed,1.0,,,1.0,,,,,,1.0,1.0,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
jaegers,2.0,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,
overdressed,2.0,,1.0,,,,,,,,,,,,,,,,,1.0,,,,1.0,,,,,,,,1.0,,,,,,,,,,,,,,
underage,6.0,,,,,,,,,1.0,3.0,,2.0,,,,,,1.0,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,
embarrassing,11.0,4.0,3.0,2.0,,,,,,5.0,4.0,,,,,,,1.0,,,,,1.0,1.0,,,,1.0,,,,,,1.0,,,,,,,,,,,,
smirk,6.0,1.0,4.0,1.0,1.0,1.0,,1.0,1.0,7.0,8.0,,1.0,,,,,1.0,1.0,,,1.0,,,,,,,,,,,1.0,,,,,,,1.0,,,,,,
teenagers,45.0,1.0,3.0,,,,,,,,1.0,1.0,,,13.0,,,,2.0,,1.0,,,,,,,,,,,,,,,,,,,,,1.0,,,,
waved,31.0,7.0,5.0,3.0,2.0,1.0,1.0,,2.0,2.0,2.0,,5.0,3.0,2.0,2.0,1.0,5.0,4.0,,,,,,,1.0,,1.0,3.0,,3.0,,,2.0,,,,1.0,,1.0,,,,,,
groaning,8.0,,,,1.0,,,,,,1.0,,1.0,1.0,1.0,,1.0,1.0,5.0,3.0,1.0,3.0,,,,,,,,,,,,,,1.0,,,,,,,,,,
augustly,1.0,,,,1.0,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
kingly,4.0,,,,1.0,,,,,,,,3.0,,,,,,,,,,,,,,,,3.0,,,,,,,,,,,,,,,,,
prosperous,3.0,,,1.0,1.0,,,2.0,,1.0,,,3.0,,,,,,,,,,,,,,,,1.0,,,1.0,,,,,,,,,,,,,,
primordial,2.0,,,,1.0,,,,,,,1.0,5.0,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,
armada,1.0,,,,1.0,,,,,,,,1.0,,,,,,,,,,,,,,1.0,3.0,,,,,,,,,,,,1.0,,,,,,
venturous,1.0,,,,1.0,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
browse,11.0,,,,,,,,,,,,,,1.0,2.0,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
cabaret,8.0,2.0,5.0,,3.0,,1.0,,1.0,,1.0,,1.0,2.0,,,1.0,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,
